Model,Question Number,Model Answer,Correct
Mistral,1,A,True
Mistral,2,A,True
Mistral,3,B,True
Mistral,4,A,True
Mistral,5,B,False
Mistral,6,A,True
Mistral,7,A,True
Mistral,8,A,True
Mistral,9,C,False
Mistral,10,B,False
Mistral,11,A,True
Mistral,12,A,True
Mistral,13,A,True
Mistral,14,D,False
Mistral,15,C,False
Mistral,16,A,True
Mistral,17,C,False
Mistral,18,C,False
Mistral,19,A,True
Mistral,20,A,True
Mistral,21,A,True
Mistral,22,D,False
Mistral,23,A,True
Mistral,24,A,True
Mistral,25,B,True
Mistral,26,A,True
Mistral,27,A,True
Mistral,28,A,True
Mistral,29,B,True
Mistral,30,A,True
Mistral,31,A,True
Mistral,32,A,True
Mistral,33,C,True
Mistral,34,A,True
Mistral,35,A,True
Mistral,36,A,True
Mistral,37,A,True
Mistral,38,A,True
Mistral,39,A,True
Mistral,40,B,True
Mistral,41,A,True
Mistral,42,C,True
Mistral,43,A,False
Mistral,44,A,True
Mistral,45,A,True
Mistral,46,A,True
Mistral,47,B,True
Mistral,48,A,True
Mistral,49,A,True
Mistral,50,A,True
Mistral,51,A,True
Mistral,52,B,True
Mistral,53,A,True
Mistral,54,A,True
Mistral,55,C,False
Mistral,56,B,False
Mistral,57,D,False
Mistral,58,A,True
Mistral,59,A,True
Mistral,60,C,False
Mistral,61,D,True
Mistral,62,D,False
Mistral,63,C,True
Mistral,64,C,True
Mistral,65,D,False
Mistral,66,B,True
Mistral,67,D,False
Mistral,68,D,True
Mistral,69,C,True
Mistral,70,C,True
Mistral,71,C,True
Mistral,72,C,True
Mistral,73,B,True
Mistral,74,A,True
Mistral,75,B,False
Mistral,76,D,False
Mistral,77,C,True
Mistral,78,B,True
Mistral,79,B,False
Mistral,80,B,True
Granite,1,A,True
Granite,2,B,False
Granite,3,D,False
Granite,4,B,False
Granite,5,A,True
Granite,6,A,True
Granite,7,D,False
Granite,8,C,False
Granite,9,C,False
Granite,10,D,False
Granite,11,A,True
Granite,12,A,True
Granite,13,A,True
Granite,14,B,False
Granite,15,A,True
Granite,16,A,True
Granite,17,A,True
Granite,18,A,True
Granite,19,A,True
Granite,20,A,True
Granite,21,A,True
Granite,22,A,True
Granite,23,A,True
Granite,24,A,True
Granite,25,B,True
Granite,26,A,True
Granite,27,A,True
Granite,28,A,True
Granite,29,B,True
Granite,30,B,False
Granite,31,A,True
Granite,32,A,True
Granite,33,C,True
Granite,34,B,False
Granite,35,A,True
Granite,36,A,True
Granite,37,D,False
Granite,38,A,True
Granite,39,B,False
Granite,40,B,True
Granite,41,B,False
Granite,42,A,False
Granite,43,A,False
Granite,44,A,True
Granite,45,A,True
Granite,46,A,True
Granite,47,C,False
Granite,48,A,True
Granite,49,A,True
Granite,50,B,False
Granite,51,B,False
Granite,52,A,False
Granite,53,A,True
Granite,54,B,False
Granite,55,A,True
Granite,56,A,True
Granite,57,C,False
Granite,58,A,True
Granite,59,B,False
Granite,60,B,True
Granite,61,A,False
Granite,62,A,True
Granite,63,A,False
Granite,64,C,True
Granite,65,A,True
Granite,66,B,True
Granite,67,A,True
Granite,68,D,True
Granite,69,A,False
Granite,70,A,False
Granite,71,C,True
Granite,72,B,False
Granite,73,B,True
Granite,74,A,True
Granite,75,C,True
Granite,76,D,False
Granite,77,A,False
Granite,78,B,True
Granite,79,B,False
Granite,80,A,False
Llama3,1,A,True
Llama3,2,C,False
Llama3,3,B,True
Llama3,4,A,True
Llama3,5,A,True
Llama3,6,A,True
Llama3,7,A,True
Llama3,8,A,True
Llama3,9,C,False
Llama3,10,B,False
Llama3,11,A,True
Llama3,12,A,True
Llama3,13,A,True
Llama3,14,A,True
Llama3,15,A,True
Llama3,16,A,True
Llama3,17,C,False
Llama3,18,A,True
Llama3,19,A,True
Llama3,20,A,True
Llama3,21,A,True
Llama3,22,D,False
Llama3,23,A,True
Llama3,24,A,True
Llama3,25,B,True
Llama3,26,A,True
Llama3,27,A,True
Llama3,28,A,True
Llama3,29,A,False
Llama3,30,A,True
Llama3,31,A,True
Llama3,32,D,False
Llama3,33,C,True
Llama3,34,B,False
Llama3,35,B,False
Llama3,36,D,False
Llama3,37,B,False
Llama3,38,A,True
Llama3,39,B,False
Llama3,40,B,True
Llama3,41,A,True
Llama3,42,C,True
Llama3,43,C,True
Llama3,44,A,True
Llama3,45,C,False
Llama3,46,A,True
Llama3,47,B,True
Llama3,48,A,True
Llama3,49,D,False
Llama3,50,A,True
Llama3,51,A,True
Llama3,52,B,True
Llama3,53,D,False
Llama3,54,A,True
Llama3,55,A,True
Llama3,56,A,True
Llama3,57,C,False
Llama3,58,A,True
Llama3,59,A,True
Llama3,60,C,False
Llama3,61,D,True
Llama3,62,D,False
Llama3,63,C,True
Llama3,64,B,False
Llama3,65,D,False
Llama3,66,B,True
Llama3,67,A,True
Llama3,68,D,True
Llama3,69,C,True
Llama3,70,B,False
Llama3,71,C,True
Llama3,72,C,True
Llama3,73,B,True
Llama3,74,A,True
Llama3,75,C,True
Llama3,76,A,True
Llama3,77,C,True
Llama3,78,B,True
Llama3,79,B,False
Llama3,80,B,True
Llama3,1,A,True
Llama3,2,C,False
Llama3,3,B,True
Llama3,4,A,True
Llama3,5,A,True
Llama3,6,A,True
Llama3,7,A,True
Llama3,8,A,True
Llama3,9,C,False
Llama3,10,B,False
Llama3,11,A,True
Llama3,12,A,True
Llama3,13,A,True
Llama3,14,A,True
Llama3,15,A,True
Llama3,16,A,True
Llama3,17,C,False
Llama3,18,A,True
Llama3,19,A,True
Llama3,20,A,True
Llama3,21,A,True
Llama3,22,D,False
Llama3,23,A,True
Llama3,24,A,True
Llama3,25,B,True
Llama3,26,A,True
Llama3,27,A,True
Llama3,28,A,True
Llama3,29,A,False
Llama3,30,A,True
Llama3,31,A,True
Llama3,32,D,False
Llama3,33,C,True
Llama3,34,B,False
Llama3,35,B,False
Llama3,36,D,False
Llama3,37,B,False
Llama3,38,A,True
Llama3,39,B,False
Llama3,40,B,True
Llama3,41,A,True
Llama3,42,C,True
Llama3,43,C,True
Llama3,44,A,True
Llama3,45,C,False
Llama3,46,A,True
Llama3,47,B,True
Llama3,48,A,True
Llama3,49,D,False
Llama3,50,A,True
Llama3,51,A,True
Llama3,52,B,True
Llama3,53,D,False
Llama3,54,A,True
Llama3,55,A,True
Llama3,56,A,True
Llama3,57,C,False
Llama3,58,A,True
Llama3,59,A,True
Llama3,60,C,False
Llama3,61,D,True
Llama3,62,D,False
Llama3,63,C,True
Llama3,64,B,False
Llama3,65,D,False
Llama3,66,B,True
Llama3,67,A,True
Llama3,68,D,True
Llama3,69,C,True
Llama3,70,B,False
Llama3,71,C,True
Llama3,72,C,True
Llama3,73,B,True
Llama3,74,A,True
Llama3,75,C,True
Llama3,76,A,True
Llama3,77,C,True
Llama3,78,B,True
Llama3,79,B,False
Llama3,80,B,True
Llama3,1,A,True
Llama3,2,C,False
Llama3,3,B,True
Llama3,4,A,True
Llama3,5,A,True
Llama3,6,A,True
Llama3,7,A,True
Llama3,8,A,True
Llama3,9,C,False
Llama3,10,B,False
Llama3,11,A,True
Llama3,12,A,True
Llama3,13,A,True
Llama3,14,A,True
Llama3,15,A,True
Llama3,16,A,True
Llama3,17,C,False
Llama3,18,A,True
Llama3,19,A,True
Llama3,20,A,True
Llama3,21,A,True
Llama3,22,D,False
Llama3,23,A,True
Llama3,24,A,True
Llama3,25,B,True
Llama3,26,A,True
Llama3,27,A,True
Llama3,28,A,True
Llama3,29,A,False
Llama3,30,A,True
Llama3,31,A,True
Llama3,32,D,False
Llama3,33,C,True
Llama3,34,B,False
Llama3,35,B,False
Llama3,36,D,False
Llama3,37,B,False
Llama3,38,A,True
Llama3,39,B,False
Llama3,40,B,True
Llama3,41,A,True
Llama3,42,C,True
Llama3,43,C,True
Llama3,44,A,True
Llama3,45,C,False
Llama3,46,A,True
Llama3,47,B,True
Llama3,48,A,True
Llama3,49,D,False
Llama3,50,A,True
Llama3,51,A,True
Llama3,52,B,True
Llama3,53,D,False
Llama3,54,A,True
Llama3,55,A,True
Llama3,56,A,True
Llama3,57,C,False
Llama3,58,A,True
Llama3,59,A,True
Llama3,60,C,False
Llama3,61,D,True
Llama3,62,D,False
Llama3,63,C,True
Llama3,64,B,False
Llama3,65,D,False
Llama3,66,B,True
Llama3,67,A,True
Llama3,68,D,True
Llama3,69,C,True
Llama3,70,B,False
Llama3,71,C,True
Llama3,72,C,True
Llama3,73,B,True
Llama3,74,A,True
Llama3,75,C,True
Llama3,76,A,True
Llama3,77,C,True
Llama3,78,B,True
Llama3,79,B,False
Llama3,80,B,True
Mistral,1,A,True
Mistral,2,A,True
Mistral,3,B,True
Mistral,4,A,True
Mistral,5,B,False
Mistral,6,A,True
Mistral,7,A,True
Mistral,8,A,True
Mistral,9,C,False
Mistral,10,B,False
Mistral,11,A,True
Mistral,12,A,True
Mistral,13,A,True
Mistral,14,D,False
Mistral,15,C,False
Mistral,16,A,True
Mistral,17,C,False
Mistral,18,C,False
Mistral,19,A,True
Mistral,20,A,True
Mistral,21,A,True
Mistral,22,D,False
Mistral,23,A,True
Mistral,24,A,True
Mistral,25,B,True
Mistral,26,A,True
Mistral,27,A,True
Mistral,28,A,True
Mistral,29,B,True
Mistral,30,A,True
Mistral,31,A,True
Mistral,32,A,True
Mistral,33,C,True
Mistral,34,A,True
Mistral,35,A,True
Mistral,36,A,True
Mistral,37,A,True
Mistral,38,A,True
Mistral,39,A,True
Mistral,40,B,True
Mistral,41,A,True
Mistral,42,C,True
Mistral,43,A,False
Mistral,44,A,True
Mistral,45,A,True
Mistral,46,A,True
Mistral,47,B,True
Mistral,48,A,True
Mistral,49,A,True
Mistral,50,A,True
Mistral,51,A,True
Mistral,52,B,True
Mistral,53,A,True
Mistral,54,A,True
Mistral,55,C,False
Mistral,56,B,False
Mistral,57,D,False
Mistral,58,A,True
Mistral,59,A,True
Mistral,60,C,False
Mistral,61,D,True
Mistral,62,D,False
Mistral,63,C,True
Mistral,64,C,True
Mistral,65,D,False
Mistral,66,B,True
Mistral,67,D,False
Mistral,68,D,True
Mistral,69,C,True
Mistral,70,C,True
Mistral,71,C,True
Mistral,72,C,True
Mistral,73,B,True
Mistral,74,A,True
Mistral,75,B,False
Mistral,76,D,False
Mistral,77,C,True
Mistral,78,B,True
Mistral,79,B,False
Mistral,80,B,True
Mistral,1,A,True
Mistral,2,A,True
Mistral,3,B,True
Mistral,4,A,True
Mistral,5,B,False
Mistral,6,A,True
Mistral,7,A,True
Mistral,8,A,True
Mistral,9,C,False
Mistral,10,B,False
Mistral,11,A,True
Mistral,12,A,True
Mistral,13,A,True
Mistral,14,D,False
Mistral,15,C,False
Mistral,16,A,True
Mistral,17,C,False
Mistral,18,C,False
Mistral,19,A,True
Mistral,20,A,True
Mistral,21,A,True
Mistral,22,D,False
Mistral,23,A,True
Mistral,24,A,True
Mistral,25,B,True
Mistral,26,A,True
Mistral,27,A,True
Mistral,28,A,True
Mistral,29,B,True
Mistral,30,A,True
Mistral,31,A,True
Mistral,32,A,True
Mistral,33,C,True
Mistral,34,A,True
Mistral,35,A,True
Mistral,36,A,True
Mistral,37,A,True
Mistral,38,A,True
Mistral,39,A,True
Mistral,40,B,True
Mistral,41,A,True
Mistral,42,C,True
Mistral,43,A,False
Mistral,44,A,True
Mistral,45,A,True
Mistral,46,A,True
Mistral,47,B,True
Mistral,48,A,True
Mistral,49,A,True
Mistral,50,A,True
Mistral,51,A,True
Mistral,52,B,True
Mistral,53,A,True
Mistral,54,A,True
Mistral,55,C,False
Mistral,56,B,False
Mistral,57,D,False
Mistral,58,A,True
Mistral,59,A,True
Mistral,60,C,False
Mistral,61,D,True
Mistral,62,D,False
Mistral,63,C,True
Mistral,64,C,True
Mistral,65,D,False
Mistral,66,B,True
Mistral,67,D,False
Mistral,68,D,True
Mistral,69,C,True
Mistral,70,C,True
Mistral,71,C,True
Mistral,72,C,True
Mistral,73,B,True
Mistral,74,A,True
Mistral,75,B,False
Mistral,76,D,False
Mistral,77,C,True
Mistral,78,B,True
