Model;Question Number;Question;Option A;Option B;Option C;Option D;Correct Answer;Answer Instance 1;Answer Instance 2;Answer Instance 3
Mistral;5;How do you select the last value of a time series in PromQL?;last_over_time(metric_name[5m]);max(metric_name);metric_name;metric_name[5m];A;B;B;B
Mistral;9;Which function would you use to get the 95th percentile of response times?;histogram_quantile(0.95, rate(http_request_duration_seconds_bucket[5m]));quantile(0.95, rate(http_request_duration_seconds_bucket[5m]));percentile(0.95, rate(http_request_duration_seconds_bucket[5m]));topk(0.95, rate(http_request_duration_seconds_bucket[5m]));A;C;C;C
Mistral;10;What is the correct way to calculate the sum of values grouped by 'job' and 'instance'?;sum(metric_name) by (job, instance);sum(metric_name) by job, instance;sum(metric_name) job instance;sum(metric_name) over (job, instance);A;B;B;B
Mistral;14;Which nested query calculates the average CPU usage for instances with more than 2 cores?;avg by (instance) (sum by (instance, cpu) (rate(node_cpu_seconds_total[5m]))) > 2;avg by (instance) (rate(node_cpu_seconds_total[5m])) > 2;sum by (instance) (avg by (cpu) (rate(node_cpu_seconds_total[5m]))) > 2;sum by (instance) (rate(node_cpu_seconds_total[5m])) / count by (instance) (node_cpu_seconds_total) > 2;A;D;D;D
Mistral;15;How do you calculate the ratio of failed HTTP requests to total HTTP requests over the last 5 minutes?;"sum(rate(http_requests_total{status=~""5..""}[5m])) / sum(rate(http_requests_total[5m]))";"sum(rate(http_requests_total{status=~""5..""}[5m])) and sum(rate(http_requests_total[5m]))";"rate(http_requests_total{status=~""5..""}[5m]) / rate(http_requests_total[5m])";"avg(rate(http_requests_total{status=~""5..""}[5m])) / avg(rate(http_requests_total[5m]))";A;C;C;C
Mistral;17;How do you efficiently compute the average memory usage per namespace, excluding the 'kube-system' namespace?;"avg_over_time(node_memory_MemTotal_bytes{namespace!=""kube-system""}[5m]) by (namespace)";"avg_over_time(node_memory_MemTotal_bytes[5m]) by (namespace) != ""kube-system""";"avg(rate(node_memory_MemTotal_bytes{namespace!=""kube-system""}[5m])) by (namespace)";"avg(node_memory_MemTotal_bytes{namespace!=""kube-system""}) by (namespace)";A;C;C;C
Mistral;18;How would you write a PromQL query to calculate the average memory usage across all pods in a Kubernetes cluster?;avg(kube_pod_memory_usage_bytes);sum(kube_pod_memory_usage_bytes);avg_over_time(kube_pod_memory_usage_bytes[5m]);rate(kube_pod_memory_usage_bytes[5m]);A;C;C;C
Mistral;22;How would you write a PromQL query to calculate the sum of the rate of increase for multiple counter metrics?;sum(rate(counter_metric[5m]));rate(sum(counter_metric[5m]));increase(sum(counter_metric[5m]));sum_over_time(rate(counter_metric[5m]));A;D;D;D
Mistral;43;Which of the following PromQL expressions calculates the second derivative of the cpu_usage metric over a 5-minute period?;rate(rate(cpu_usage)[5m])[5m];increase(increase(cpu_usage)[5m])[5m];derivative(derivative(cpu_usage)[5m])[5m];increase(derivative(cpu_usage)[5m])[5m];C;A;A;A
Mistral;55;How do you calculate the sum of the disk_space_used metric over a 10-minute window for each instance?;sum by (instance)(disk_space_used)[10m];sum(disk_space_used) group by instance[10m];sum(disk_space_used) by (instance)[10m];sum(disk_space_used) without (instance)[10m];A;C;C;C
Mistral;56;Which function is used to compute the range of values for a metric over a specified time range?;range_over_time();metric_range();range();value_range();A;B;B;B
