Model;Question Number;Question;Option A;Option B;Option C;Option D;Correct Answer;Answer Instance 1;Answer Instance 2;Answer Instance 3
llama3;7;Which PromQL expression calculates the increase in HTTP requests over the last 1 hour?;increase(http_requests_total[1h]);rate(http_requests_total[1h]);sum(http_requests_total[1h]);delta(http_requests_total[1h]);A;B;B;B
llama3;32;What is the correct syntax to filter data from the http_requests_total metric where the status code is 200?;"http_requests_total{status=""200""}";"http_requests_total(status=""200"")";http_requests_total{status:200};"http_requests_total[status=""200""]";A;D;D;D
llama3;39;"Which of the following PromQL expressions correctly selects data from the disk_usage metric where the mount point is ""/var""?";"disk_usage{mountpoint=""/var""}";"disk_usage[mountpoint=""/var""]";"disk_usage(mountpoint=""var"")";"disk_usage[""/var""]";A;B;B;B
llama3;43;Which of the following PromQL expressions calculates the second derivative of the cpu_usage metric over a 5-minute period?;rate(rate(cpu_usage)[5m])[5m];increase(increase(cpu_usage)[5m])[5m];derivative(derivative(cpu_usage)[5m])[5m];increase(derivative(cpu_usage)[5m])[5m];C;A;A;A
llama3;44;How do you calculate the ratio of success to failure in the http_requests metric?;success / failure;success(failure);success + count(failure);success / sum(failure);A;D;D;D
llama3;48;Which of the following PromQL expressions calculates the per-second rate of increase of the network_traffic metric over a 10-minute window?;rate(network_traffic[10m]);((network_traffic))[10m];increase(network_traffic) / 10m;rate(network_traffic) / 10m;A;D;D;D
llama3;50;Which PromQL function is used to calculate the increase of a counter metric over time?;increase();rate();delta();difference();A;B;C;B
llama3;56;Which function is used to compute the range of values for a metric over a specified time range?;range_over_time();metric_range();range();value_range();A;C;C;C
llama3;58;Which PromQL function is used to compute the absolute difference between the maximum and minimum values of a metric over a specified time range?;range_abs();abs_range();difference();delta_abs();A;D;D;D
llama3;60;What is the correct PromQL expression to calculate the rate of increase of the http_requests_total metric over the last 10 minutes, filtering for the status code 200?;"increase(http_requests_total{status=""200""})[10m]";"rate(http_requests_total{status=""200""})[10m]";"increase(rate(http_requests_total{status=""200""}))[10m]";"rate(increase(http_requests_total{status=""200""}))[10m]";B;D;D;D
llama3;62;What is the correct PromQL expression to compute the moving average of the temperature metric over the last 15 minutes, filtering out any instances where the value is negative?;avg_over_time(temperature > 0)[15m];avg(temperature) temperature < 0[15m];avg(temperature) unless temperature = 0[15m];avg(temperature > 0)[15m];A;D;D;D
llama3;64;Which PromQL expression correctly calculates the ratio of successful_requests to total_requests over a 10-minute interval, excluding any samples where total_requests is zero?;successful_requests / total_requests > 0 [10m];(successful_requests) // rate(total_requests) total_requests = 0 [10m];increase(successful_requests) / increase(total_requests) unless total_requests == 0 [10m];successful_requests + total_requests unless total_requests == 0 [10m];C;B;B;B
llama3;66;What is the correct PromQL expression to calculate the 95th percentile of the response_time metric over the last 1 hour, excluding any samples where response_time is greater than 500 milliseconds?;quantile(0.95response_time < 500)[1h];quantile_over_time(0.95, response_time[1h] unless response_time > 500);quantile(0.95, response_time) > 500 [1h];quantile(0.95, response_time) unless response_time > 500ms [1h];B;A;A;A
llama3;69;How would you calculate the rate of change of the temperature metric over the last 10 minutes, excluding any samples where the value is less than 20?;irate(temperature > 20)[10m];irate(temperature) > 20 [10m];irate(temperature{temperature > 20})[10m];(temperature > 0)[10m];C;A;A;A
llama3;70;"What is the metric name for the query 'histogram_quantile(0.99, sum(rate(apiserver_request_duration_seconds_bucket{verb=~""LIST|GET"", subresource!=""log""}[2m])) by (verb,resource,subresource,component,apiserver,le)) > 0'?";" ""APIRequestRate""";" ""API99thWriteRequestLatency""";" ""API99thReadRequestLatency""";" ""flowControlRejectedRequest""";C;B;B;B
llama3;75;What query is used to find the 99th percentile request wait duration in flow control?;" ""sum(irate(apiserver_request_total{}[2m])) by (verb,resource,subresource,apiserver,component,code) > 0""";" ""histogram_quantile(0.99, sum(rate(apiserver_flowcontrol_request_execution_seconds_bucket{}[5m])) by (le, flow_schema, priority_level)) > 0""";" ""histogram_quantile(0.99, sum(rate(apiserver_flowcontrol_request_wait_duration_seconds_bucket{}[5m])) by (le, flow_schema, priority_level)) > 0""";" ""sum(rate(apiserver_request_duration_seconds_bucket{verb=~""""LIST|GET"""", subresource!=""""log""""}[2m])) by (verb,resource,subresource,component,apiserver,le)) > 0""";C;B;B;B
llama3;77;What metric name is used for the query 'sum(rate(apiserver_flowcontrol_dispatched_requests_total[2m])) by (flow_schema,priority_level) > 0'?;" ""APIRequestRate""";" ""flowControlRejectedRequest""";" ""flowControlRate""";" ""flowControl99thRequestExecution""";C;A;A;A
llama3;79;Which of the following PromQL queries correctly calculates the rate of HTTP requests per job over the last 5 minutes?;sum by (job) (rate(http_requests_total[5m]));rate(http_requests_total[5m]) by (job);rate(sum by (job) (http_requests_total[5m]));rate(http_requests_total{job}[5m]);A;B;B;B
mistral;3;"How do you filter metrics by the labelWhich PromQL expression calculates  is the correct way to apply a simple rate function?""";(metric_name);rate(metric_name[5m]);rate(metric_name) by (instance);rate(5m)(metric_name);B;A;A;A
mistral;10;What is the correct way to calculate the sum of values grouped by 'job' and 'instance'?;sum(metric_name) by (job, instance);sum(metric_name) by job, instance;sum(metric_name) job instance;sum(metric_name) over (job, instance);A;B;B;B
mistral;15;How do you calculate the ratio of failed HTTP requests to total HTTP requests over the last 5 minutes?;"sum(rate(http_requests_total{status=~""5..""}[5m])) / sum(rate(http_requests_total[5m]))";"sum(rate(http_requests_total{status=~""5..""}[5m])) and sum(rate(http_requests_total[5m]))";"rate(http_requests_total{status=~""5..""}[5m]) / rate(http_requests_total[5m])";"avg(rate(http_requests_total{status=~""5..""}[5m])) / avg(rate(http_requests_total[5m]))";A;C;C;C
mistral;29;How can you calculate the average number of active sessions per minute over the past day, assuming active_sessions is a gauge metric?;avg_over_time(active_sessions[1d]) / 1440;rate(active_sessions[1d]) / 1440;avg(active_sessions) / 1440;irate(active_sessions[1d]) / 1440;B;A;A;A
mistral;43;Which of the following PromQL expressions calculates the second derivative of the cpu_usage metric over a 5-minute period?;rate(rate(cpu_usage)[5m])[5m];increase(increase(cpu_usage)[5m])[5m];derivative(derivative(cpu_usage)[5m])[5m];increase(derivative(cpu_usage)[5m])[5m];C;A;A;A
mistral;52;Which PromQL function is used to compute the moving average of a metric over time?;moving_avg();avg_over_time();rate();increase();B;A;A;A
mistral;60;What is the correct PromQL expression to calculate the rate of increase of the http_requests_total metric over the last 10 minutes, filtering for the status code 200?;"increase(http_requests_total{status=""200""})[10m]";"rate(http_requests_total{status=""200""})[10m]";"increase(rate(http_requests_total{status=""200""}))[10m]";"rate(increase(http_requests_total{status=""200""}))[10m]";B;A;A;A
