Model,Question Number,Model Answer,Correct
Llama3,1,A,True
Llama3,2,A,True
Llama3,3,B,True
Llama3,4,A,True
Llama3,5,A,True
Llama3,6,A,True
Llama3,7,B,False
Llama3,8,A,True
Llama3,9,A,True
Llama3,10,B,False
Llama3,11,A,True
Llama3,12,A,True
Llama3,13,A,True
Llama3,14,A,True
Llama3,15,A,True
Llama3,16,A,True
Llama3,17,C,False
Llama3,18,A,True
Llama3,19,A,True
Llama3,20,A,True
Llama3,21,A,True
Llama3,22,D,False
Llama3,23,A,True
Llama3,24,A,True
Llama3,25,B,True
Llama3,26,A,True
Llama3,27,A,True
Llama3,28,A,True
Llama3,29,B,True
Llama3,30,A,True
Llama3,31,D,False
Llama3,32,D,False
Llama3,33,C,True
Llama3,34,A,True
Llama3,35,B,False
Llama3,36,D,False
Llama3,37,A,True
Llama3,38,A,True
Llama3,39,B,False
Llama3,40,B,True
Llama3,41,A,True
Llama3,42,C,True
Llama3,43,C,True
Llama3,44,D,False
Llama3,45,A,True
Llama3,46,A,True
Llama3,47,B,True
Llama3,48,D,False
Llama3,49,D,False
Llama3,50,C,False
Llama3,51,A,True
Llama3,52,B,True
Llama3,53,D,False
Llama3,54,A,True
Llama3,55,A,True
Llama3,56,A,True
Llama3,57,C,False
Llama3,58,D,False
Llama3,59,D,False
Llama3,60,B,True
Llama3,61,D,True
Llama3,62,D,False
Llama3,63,C,True
Llama3,64,B,False
Llama3,65,D,False
Llama3,66,B,True
Llama3,67,D,False
Llama3,68,D,True
Llama3,69,A,False
Llama3,70,C,True
Llama3,71,A,False
Llama3,72,A,False
Llama3,73,B,True
Llama3,74,A,True
Llama3,75,B,False
Llama3,76,A,True
Llama3,77,A,False
Llama3,78,B,True
Llama3,79,B,False
Llama3,80,B,True
Llama3,1,A,True
Llama3,2,A,True
Llama3,3,B,True
Llama3,4,A,True
Llama3,5,A,True
Llama3,6,A,True
Llama3,7,B,False
Llama3,8,A,True
Llama3,9,A,True
Llama3,10,B,False
Llama3,11,A,True
Llama3,12,A,True
Llama3,13,A,True
Llama3,14,A,True
Llama3,15,A,True
Llama3,16,A,True
Llama3,17,C,False
Llama3,18,A,True
Llama3,19,A,True
Llama3,20,A,True
Llama3,21,A,True
Llama3,22,D,False
Llama3,23,A,True
Llama3,24,A,True
Llama3,25,B,True
Llama3,26,A,True
Llama3,27,A,True
Llama3,28,A,True
Llama3,29,B,True
Llama3,30,A,True
Llama3,31,D,False
Llama3,32,D,False
Llama3,33,C,True
Llama3,34,A,True
Llama3,35,B,False
Llama3,36,D,False
Llama3,37,A,True
Llama3,38,A,True
Llama3,39,B,False
Llama3,40,B,True
Llama3,41,A,True
Llama3,42,C,True
Llama3,43,C,True
Llama3,44,D,False
Llama3,45,A,True
Llama3,46,A,True
Llama3,47,B,True
Llama3,48,D,False
Llama3,49,D,False
Llama3,50,C,False
Llama3,51,A,True
Llama3,52,B,True
Llama3,53,D,False
Llama3,54,A,True
Llama3,55,A,True
Llama3,56,A,True
Llama3,57,C,False
Llama3,58,D,False
Llama3,59,D,False
Llama3,60,B,True
Llama3,61,D,True
Llama3,62,D,False
Llama3,63,C,True
Llama3,64,B,False
Llama3,65,D,False
Llama3,66,B,True
Llama3,67,D,False
Llama3,68,D,True
Llama3,69,A,False
Llama3,70,C,True
Llama3,71,A,False
Llama3,72,A,False
Llama3,73,B,True
Llama3,74,A,True
Llama3,75,B,False
Llama3,76,A,True
Llama3,77,A,False
Llama3,78,B,True
Llama3,79,B,False
Llama3,80,B,True
Llama3,1,A,True
Llama3,2,A,True
Llama3,3,B,True
Llama3,4,A,True
Llama3,5,A,True
Llama3,6,A,True
Llama3,7,B,False
Llama3,8,A,True
Llama3,9,A,True
Llama3,10,B,False
Llama3,11,A,True
Llama3,12,A,True
Llama3,13,A,True
Llama3,14,A,True
Llama3,15,A,True
Llama3,16,A,True
Llama3,17,C,False
Llama3,18,A,True
Llama3,19,A,True
Llama3,20,A,True
Llama3,21,A,True
Llama3,22,D,False
Llama3,23,A,True
Llama3,24,A,True
Llama3,25,B,True
Llama3,26,A,True
Llama3,27,A,True
Llama3,28,A,True
Llama3,29,B,True
Llama3,30,A,True
Llama3,31,D,False
Llama3,32,D,False
Llama3,33,C,True
Llama3,34,A,True
Llama3,35,B,False
Llama3,36,D,False
Llama3,37,A,True
Llama3,38,A,True
Llama3,39,B,False
Llama3,40,B,True
Llama3,41,A,True
Llama3,42,C,True
Llama3,43,C,True
Llama3,44,D,False
Llama3,45,A,True
Llama3,46,A,True
Llama3,47,B,True
Llama3,48,D,False
Llama3,49,D,False
Llama3,50,C,False
Llama3,51,A,True
Llama3,52,B,True
Llama3,53,D,False
Llama3,54,A,True
Llama3,55,A,True
Llama3,56,A,True
Llama3,57,C,False
Llama3,58,D,False
Llama3,59,D,False
Llama3,60,B,True
Llama3,61,D,True
Llama3,62,D,False
Llama3,63,C,True
Llama3,64,B,False
Llama3,65,D,False
Llama3,66,B,True
Llama3,67,D,False
Llama3,68,D,True
Llama3,69,A,False
Llama3,70,C,True
Llama3,71,A,False
Llama3,72,A,False
Llama3,73,B,True
Llama3,74,A,True
Llama3,75,B,False
Llama3,76,A,True
Llama3,77,A,False
Llama3,78,B,True
Llama3,79,B,False
Llama3,80,B,True
Mistral,1,A,True
Mistral,2,A,True
Mistral,3,B,True
Mistral,4,B,False
Mistral,5,A,True
Mistral,6,A,True
Mistral,7,A,True
Mistral,8,A,True
Mistral,9,C,False
Mistral,10,A,True
Mistral,11,A,True
Mistral,12,A,True
Mistral,13,A,True
Mistral,14,A,True
Mistral,15,A,True
Mistral,16,A,True
Mistral,17,A,True
Mistral,18,A,True
Mistral,19,A,True
Mistral,20,A,True
Mistral,21,A,True
Mistral,22,A,True
Mistral,23,A,True
Mistral,24,A,True
Mistral,25,B,True
Mistral,26,A,True
Mistral,27,A,True
Mistral,28,A,True
Mistral,29,B,True
Mistral,30,A,True
Mistral,31,A,True
Mistral,32,A,True
Mistral,33,C,True
Mistral,34,A,True
Mistral,35,A,True
Mistral,36,A,True
Mistral,37,A,True
Mistral,38,A,True
Mistral,39,A,True
Mistral,40,B,True
Mistral,41,A,True
Mistral,42,C,True
Mistral,43,C,True
Mistral,44,A,True
Mistral,45,A,True
Mistral,46,A,True
Mistral,47,B,True
Mistral,48,A,True
Mistral,49,A,True
Mistral,50,A,True
Mistral,51,A,True
Mistral,52,B,True
Mistral,53,A,True
Mistral,54,A,True
Mistral,55,A,True
Mistral,56,A,True
Mistral,57,C,False
Mistral,58,A,True
Mistral,59,A,True
Mistral,60,B,True
Mistral,61,D,True
Mistral,62,A,True
Mistral,63,C,True
Mistral,64,C,True
Mistral,65,A,True
Mistral,66,B,True
Mistral,67,A,True
Mistral,68,D,True
Mistral,69,C,True
Mistral,70,C,True
Mistral,71,C,True
Mistral,72,C,True
Mistral,73,B,True
Mistral,74,A,True
Mistral,75,C,True
Mistral,76,A,True
Mistral,77,C,True
Mistral,78,B,True
Mistral,79,A,True
Mistral,80,B,True
Mistral,1,A,True
Mistral,2,A,True
Mistral,3,B,True
Mistral,4,B,False
Mistral,5,A,True
Mistral,6,A,True
Mistral,7,A,True
Mistral,8,A,True
Mistral,9,C,False
Mistral,10,A,True
Mistral,11,A,True
Mistral,12,A,True
Mistral,13,A,True
Mistral,14,A,True
Mistral,15,A,True
Mistral,16,A,True
Mistral,17,A,True
Mistral,18,A,True
Mistral,19,A,True
Mistral,20,A,True
Mistral,21,A,True
Mistral,22,A,True
Mistral,23,A,True
Mistral,24,A,True
Mistral,25,B,True
Mistral,26,A,True
Mistral,27,A,True
Mistral,28,A,True
Mistral,29,B,True
Mistral,30,A,True
Mistral,31,A,True
Mistral,32,A,True
Mistral,33,C,True
Mistral,34,A,True
Mistral,35,A,True
Mistral,36,A,True
Mistral,37,A,True
Mistral,38,A,True
Mistral,39,A,True
Mistral,40,B,True
Mistral,41,A,True
Mistral,42,C,True
Mistral,43,C,True
Mistral,44,A,True
Mistral,45,A,True
Mistral,46,A,True
Mistral,47,B,True
Mistral,48,A,True
Mistral,49,A,True
Mistral,50,A,True
Mistral,51,A,True
Mistral,52,B,True
Mistral,53,A,True
Mistral,54,A,True
Mistral,55,A,True
Mistral,56,A,True
Mistral,57,C,False
Mistral,58,A,True
Mistral,59,A,True
Mistral,60,B,True
Mistral,61,D,True
Mistral,62,A,True
Mistral,63,C,True
Mistral,64,C,True
Mistral,65,A,True
Mistral,66,B,True
Mistral,67,A,True
Mistral,68,D,True
Mistral,69,C,True
Mistral,70,C,True
Mistral,71,C,True
Mistral,72,C,True
Mistral,73,B,True
Mistral,74,A,True
Mistral,75,C,True
Mistral,76,A,True
Mistral,77,C,True
Mistral,78,B,True
Mistral,79,A,True
Mistral,80,B,True
Mistral,1,A,True
Mistral,2,A,True
Mistral,3,B,True
Mistral,4,B,False
Mistral,5,A,True
Mistral,6,A,True
Mistral,7,A,True
Mistral,8,A,True
Mistral,9,C,False
Mistral,10,A,True
Mistral,11,A,True
Mistral,12,A,True
Mistral,13,A,True
Mistral,14,A,True
Mistral,15,A,True
Mistral,16,A,True
Mistral,17,A,True
Mistral,18,A,True
Mistral,19,A,True
Mistral,20,A,True
Mistral,21,A,True
Mistral,22,A,True
Mistral,23,A,True
Mistral,24,A,True
Mistral,25,B,True
Mistral,26,A,True
Mistral,27,A,True
Mistral,28,A,True
Mistral,29,B,True
Mistral,30,A,True
Mistral,31,A,True
Mistral,32,A,True
Mistral,33,C,True
Mistral,34,A,True
Mistral,35,A,True
Mistral,36,A,True
Mistral,37,A,True
Mistral,38,A,True
Mistral,39,A,True
Mistral,40,B,True
Mistral,41,A,True
Mistral,42,C,True
Mistral,43,C,True
Mistral,44,A,True
Mistral,45,A,True
Mistral,46,A,True
Mistral,47,B,True
Mistral,48,A,True
Mistral,49,A,True
Mistral,50,A,True
Mistral,51,A,True
Mistral,52,B,True
Mistral,53,A,True
Mistral,54,A,True
Mistral,55,A,True
Mistral,56,A,True
Mistral,57,C,False
Mistral,58,A,True
Mistral,59,A,True
Mistral,60,B,True
Mistral,61,D,True
Mistral,62,A,True
Mistral,63,C,True
Mistral,64,C,True
Mistral,65,A,True
Mistral,66,B,True
Mistral,67,A,True
Mistral,68,D,True
Mistral,69,C,True
Mistral,70,C,True
Mistral,71,C,True
Mistral,72,C,True
Mistral,73,B,True
Mistral,74,A,True
Mistral,75,C,True
