Question,Option A,Option B,Option C,Option D,Correct Answer
"Which operator is used for summing values in PromQL?","+","*","-","/","1"
"What does the 'sum' function do in PromQL?","Calculates the sum of all values","Calculates the average of all values","Finds the maximum value","Finds the minimum value","1"
"Which PromQL operator is used to filter time series based on their label values?","by","group","with","on","4"
"Which operator in PromQL is used to match time series with identical labels?","sum","*","/","and","D"
"In PromQL, which operator is used to select all time series that match a label set?","=","=~","!=","!~","2"
"What does the `rate` operator in PromQL calculate?","Instantaneous value","Average over time","Rate of increase per second","Total count","3"
"Which operator would you use to add two metrics together in PromQL?","+","-","*","/","1"
"How do you multiply two metrics in PromQL?","+","-","*","/","3"
"Which operator in PromQL allows for selecting the average of time series within a group of labels?","sum","avg","count","min","2"
"What does the `sum` operator do in PromQL?","Sums the values of all time series within a range","Sums the values of all time series with matching labels","Sums the values of all time series in a series","Sums the values of all time series across all instances","2"
"In PromQL, what does the `absent` operator return?","All time series","Time series with a value of zero","Time series that do not exist","Time series with a value of one","3"
"Which PromQL operator helps in finding the intersection of two sets of time series?","or","and","unless","without","2"
"What is the function of the `or` operator in PromQL?","Returns series present in both operands","Returns series present in either operand","Subtracts one series from another","Divides one series by another","2"
"How do you calculate the rate of increase per second for a counter in PromQL?","rate","increase","delta","irate","1"
"Which operator would you use in PromQL to exclude specific labels from the output?","by","unless","without","ignoring","3"
"What does the `delta` operator compute in PromQL?","Difference between the first and last samples","Sum of all samples","Average value of samples","Total count of samples","1"
"Which PromQL operator helps in merging time series with differing labels?","sum","avg","on","group_left","1"
"What is the purpose of the `max` operator in PromQL?","Returns the maximum value of all time series","Returns the minimum value of all time series","Returns the average value of all time series","Returns the sum of all time series","1"
"How would you use PromQL to return the difference between two time series only where both are present?","or","unless","and","ignoring","3"
"Which PromQL operator allows you to perform operations on a subset of labels while ignoring the rest?","by","without","on","ignoring","4"
"In a nested PromQL query, what does the combination of `sum(rate(http_requests_total[5m])) by (job)` and `sum by (job)` do?","Sums the rate of HTTP requests across all jobs","Sums the rate of HTTP requests for each job","Averages the rate of HTTP requests for each job","Counts the number of HTTP requests for each job","2"
"What is the effect of using `irate` in a complex PromQL query?","Calculates the rate based on the most recent two samples","Calculates the average rate over a given time window","Returns the instantaneous value of the metric","Computes the total sum of all samples","1"
"What does the metric containerCPU-Masters measure?","CPU usage of containers in master nodes","Memory usage of containers in master nodes","Version of the cluster","Role of the nodes","1"
"What does the metric containerMemory-Masters measure?","CPU usage of containers in master nodes","Memory usage of containers in master nodes","Version of the cluster","Role of the nodes","2"
"What does the metric clusterVersion measure?","CPU usage of containers in master nodes","Memory usage of containers in master nodes","Version of the cluster","Role of the nodes","3"
"What does the metric nodeRoles represent?","CPU usage of containers in master nodes","Memory usage of containers in master nodes","Version of the cluster","Role of the nodes","4"
