Model;Question Number;Question;Option A;Option B;Option C;Option D;Correct Answer;Answer Instance 1;Answer Instance 2;Answer Instance 3
Llama3;7;Which PromQL expression calculates the increase in HTTP requests over the last 1 hour?;increase(http_requests_total[1h]);rate(http_requests_total[1h]);sum(http_requests_total[1h]);delta(http_requests_total[1h]);A;B;B;B
Llama3;10;What is the correct way to calculate the sum of values grouped by 'job' and 'instance'?;sum(metric_name) by (job, instance);sum(metric_name) by job, instance;sum(metric_name) job instance;sum(metric_name) over (job, instance);A;B;B;B
Llama3;17;How do you efficiently compute the average memory usage per namespace, excluding the 'kube-system' namespace?;"avg_over_time(node_memory_MemTotal_bytes{namespace!=""kube-system""}[5m]) by (namespace)";"avg_over_time(node_memory_MemTotal_bytes[5m]) by (namespace) != ""kube-system""";"avg(rate(node_memory_MemTotal_bytes{namespace!=""kube-system""}[5m])) by (namespace)";"avg(node_memory_MemTotal_bytes{namespace!=""kube-system""}) by (namespace)";A;C;C;C
Llama3;22;How would you write a PromQL query to calculate the sum of the rate of increase for multiple counter metrics?;sum(rate(counter_metric[5m]));rate(sum(counter_metric[5m]));increase(sum(counter_metric[5m]));sum_over_time(rate(counter_metric[5m]));A;D;D;D
Llama3;31;How do you retrieve the average value of the cpu_usage metric over a 10-minute window?;avg(cpu_usage[10m]);cpu_usage_avg[10m];cpu_usage / 10m;cpu_usage(avg)[10m];A;D;D;D
Llama3;32;What is the correct syntax to filter data from the http_requests_total metric where the status code is 200?;"http_requests_total{status=""200""}";"http_requests_total(status=""200"")";http_requests_total{status:200};"http_requests_total[status=""200""]";A;D;D;D
Llama3;35;Which PromQL syntax retrieves the sum of disk_space_used across all instances?;sum(disk_space_used) by (instance);disk_space_used{sum by instance};sum(disk_space_used) without (instance);disk_space_used{sum(instance)};A;B;B;B
Llama3;36;"How do you correctly select data from the network_packets_received metric where the device is named ""eth0""?";"network_packets_received{device=""eth0""}";"network_packets_received(device=""eth0"")";"network_packets_received{device:""eth0""}";"network_packets_received[device=""eth0""]";A;D;D;D
Llama3;39;"Which of the following PromQL expressions correctly selects data from the disk_usage metric where the mount point is ""/var""?";"disk_usage{mountpoint=""/var""}";"disk_usage[mountpoint=""/var""]";"disk_usage(mountpoint=""var"")";"disk_usage[""/var""]";A;B;B;B
Llama3;44;How do you calculate the ratio of success to failure in the http_requests metric?;success / failure;success(failure);success + count(failure);success / sum(failure);A;D;D;D
Llama3;48;Which of the following PromQL expressions calculates the per-second rate of increase of the network_traffic metric over a 10-minute window?;rate(network_traffic[10m]);((network_traffic))[10m];increase(network_traffic) / 10m;rate(network_traffic) / 10m;A;D;D;D
