Model;Question Number;Question;Option A;Option B;Option C;Option D;Correct Answer;Answer Instance 1;Answer Instance 2;Answer Instance 3
Llama3;22;How would you write a PromQL query to calculate the sum of the rate of increase for multiple counter metrics?;sum(rate(counter_metric[5m]));rate(sum(counter_metric[5m]));increase(sum(counter_metric[5m]));sum_over_time(rate(counter_metric[5m]));A;D;D;D
Llama3;29;How can you calculate the average number of active sessions per minute over the past day, assuming active_sessions is a gauge metric?;avg_over_time(active_sessions[1d]) / 1440;rate(active_sessions[1d]) / 1440;avg(active_sessions) / 1440;irate(active_sessions[1d]) / 1440;B;A;A;A
Llama3;40;How would you calculate the rate of change of the requests_total metric over a 5-minute interval?;increase(requests_total)[5m];rate(requests_total)[5m];increase(rate(requests_total))[5m];rate(increase(requests_total))[5m];B;D;D;D
Llama3;43;Which of the following PromQL expressions calculates the second derivative of the cpu_usage metric over a 5-minute period?;rate(rate(cpu_usage)[5m])[5m];increase(increase(cpu_usage)[5m])[5m];derivative(derivative(cpu_usage)[5m])[5m];increase(derivative(cpu_usage)[5m])[5m];C;A;A;A
Llama3;44;How do you calculate the ratio of success to failure in the http_requests metric?;success / failure;success(failure);success + count(failure);success / sum(failure);A;D;D;D
Llama3;48;Which of the following PromQL expressions calculates the per-second rate of increase of the network_traffic metric over a 10-minute window?;rate(network_traffic[10m]);((network_traffic))[10m];increase(network_traffic) / 10m;rate(network_traffic) / 10m;A;D;D;D
Llama3;50;Which PromQL function is used to calculate the increase of a counter metric over time?;increase();rate();delta();difference();A;C;C;C
Llama3;56;Which function is used to compute the range of values for a metric over a specified time range?;range_over_time();metric_range();range();value_range();A;C;C;C
Llama3;57;How would you calculate the sum of the memory_usage metric over the last 30 minutes, taking into account only samples where the value is greater than 1000?;sum_over_time(memory_usage > 1000)[30m];sum(memory_usage) > 1000[30m];sum(memory_usage{memory_usage > 1000})[30m];sum(memory_usage > 1000)[30m];A;C;C;D
Llama3;58;Which PromQL function is used to compute the absolute difference between the maximum and minimum values of a metric over a specified time range?;range_abs();abs_range();difference();delta_abs();A;C;C;D
Llama3;60;What is the correct PromQL expression to calculate the rate of increase of the http_requests_total metric over the last 10 minutes, filtering for the status code 200?;"increase(http_requests_total{status=""200""})[10m]";"rate(http_requests_total{status=""200""})[10m]";"increase(rate(http_requests_total{status=""200""}))[10m]";"rate(increase(http_requests_total{status=""200""}))[10m]";B;D;D;D
Llama3;61;How would you find the 90th percentile of the latency metric over the last hour, accounting for resets to zero?;irate(quantile(0.90, latency)[1h]);quantile(0.90, irate(latency)[1h]);irate(quantile(0.90, latency))[1h];quantile(0.90, irate(latency))[1h];D;B;B;B
Llama3;62;What is the correct PromQL expression to compute the moving average of the temperature metric over the last 15 minutes, filtering out any instances where the value is negative?;avg_over_time(temperature > 0)[15m];avg(temperature) temperature < 0[15m];avg(temperature) unless temperature = 0[15m];avg(temperature > 0)[15m];A;D;D;D
Llama3;63;How do you calculate the rate of change of the disk_io metric over the last 5 minutes, excluding any samples where the value is less than 10?;irate(io > 10)[5m];irate(disk_io) > 1.0[5m];irate(disk_io{disk_io > 10})[5m];irate(avg_disk_io > 10)[5m];C;A;A;A
