Model,Question Number,Model Answer,Correct
Llama3,1,A,True
Llama3,2,A,True
Llama3,3,D,False
Llama3,4,A,True
Llama3,5,A,True
Llama3,6,A,True
Llama3,7,B,False
Llama3,8,B,False
Llama3,9,A,True
Llama3,10,B,False
Llama3,11,A,True
Llama3,12,A,True
Llama3,13,A,True
Llama3,14,A,True
Llama3,15,A,True
Llama3,16,A,True
Llama3,17,C,False
Llama3,18,A,True
Llama3,19,B,True
Llama3,20,C,False
Llama3,21,B,True
Llama3,22,A,True
Llama3,23,A,True
Llama3,24,D,False
Llama3,25,A,True
Llama3,26,A,True
Llama3,27,D,False
Llama3,28,A,True
Llama3,29,A,True
Llama3,30,C,False
Llama3,31,A,True
Llama3,32,A,True
Llama3,33,A,True
Llama3,34,B,True
Llama3,35,A,True
Llama3,36,D,False
Llama3,37,D,False
Llama3,38,B,False
Llama3,39,A,True
Llama3,40,B,False
Llama3,41,D,False
Llama3,42,A,True
Llama3,43,A,True
Llama3,44,B,False
Llama3,45,B,True
Llama3,46,A,True
Llama3,47,A,False
Llama3,48,C,True
Llama3,49,C,False
Llama3,50,A,True
Llama3,51,B,False
Llama3,52,B,True
Llama3,53,A,True
Llama3,54,D,False
Llama3,55,C,False
Llama3,56,A,True
Llama3,57,B,True
Llama3,58,D,False
Llama3,59,A,True
Llama3,60,A,True
Llama3,61,A,True
Llama3,62,A,True
Llama3,63,D,False
Llama3,64,D,False
Llama3,65,B,True
Llama3,66,D,True
Llama3,67,D,False
Llama3,68,A,False
Llama3,69,B,False
Llama3,70,D,False
Llama3,71,A,False
Llama3,72,D,False
Llama3,73,B,False
Llama3,74,D,False
Llama3,75,C,True
Llama3,76,B,False
Llama3,77,A,False
Llama3,78,B,True
Llama3,79,A,True
Llama3,80,B,False
Llama3,81,A,True
Llama3,82,A,False
Llama3,83,B,True
Llama3,84,B,False
Llama3,85,B,True
Mistral,1,A,True
Mistral,2,A,True
Mistral,3,A,False
Mistral,4,B,False
Mistral,5,A,True
Mistral,6,A,True
Mistral,7,A,True
Mistral,8,B,False
Mistral,9,C,False
Mistral,10,A,True
Mistral,11,A,True
Mistral,12,A,True
Mistral,13,A,True
Mistral,14,A,True
Mistral,15,A,True
Mistral,16,A,True
Mistral,17,A,True
Mistral,18,A,True
Mistral,19,B,True
Mistral,20,C,False
Mistral,21,B,True
Mistral,22,B,False
Mistral,23,A,True
Mistral,24,D,False
Mistral,25,A,True
Mistral,26,A,True
Mistral,27,A,True
Mistral,28,A,True
Mistral,29,A,True
Mistral,30,C,False
Mistral,31,B,False
Mistral,32,A,True
Mistral,33,A,True
Mistral,34,B,True
Mistral,35,A,True
Mistral,36,A,True
Mistral,37,A,True
Mistral,38,B,False
Mistral,39,A,True
Mistral,40,A,True
Mistral,41,A,True
Mistral,42,A,True
Mistral,43,A,True
Mistral,44,A,True
Mistral,45,B,True
Mistral,46,A,True
Mistral,47,B,False
Mistral,48,C,True
Mistral,49,C,False
Mistral,50,A,True
Mistral,51,B,False
Mistral,52,B,True
Mistral,53,B,False
Mistral,54,A,True
Mistral,55,A,True
Mistral,56,A,True
Mistral,57,B,True
Mistral,58,A,True
Mistral,59,A,True
Mistral,60,A,True
Mistral,61,A,True
Mistral,62,C,False
Mistral,63,A,True
Mistral,64,A,True
Mistral,65,B,True
Mistral,66,D,True
Mistral,67,B,False
Mistral,68,A,False
Mistral,69,B,False
Mistral,70,A,True
Mistral,71,A,False
Mistral,72,A,True
Mistral,73,B,False
Mistral,74,D,False
Mistral,75,C,True
Mistral,76,B,False
Mistral,77,C,True
Mistral,78,B,True
Mistral,79,A,True
Mistral,80,C,True
Mistral,81,A,True
Mistral,82,C,True
Mistral,83,B,True
Mistral,84,A,True
Mistral,85,B,True
Mistral,1,A,True
Mistral,2,A,True
Mistral,3,A,False
Mistral,4,B,False
Mistral,5,A,True
Mistral,6,A,True
Mistral,7,A,True
Mistral,8,B,False
Mistral,9,C,False
Mistral,10,A,True
Mistral,11,A,True
Mistral,12,A,True
Mistral,13,A,True
Mistral,14,A,True
Mistral,15,A,True
Mistral,16,A,True
Mistral,17,A,True
Mistral,18,A,True
Mistral,19,B,True
Mistral,20,C,False
Mistral,21,B,True
Mistral,22,B,False
Mistral,23,A,True
Mistral,24,D,False
Mistral,25,A,True
Mistral,26,A,True
Mistral,27,A,True
Mistral,28,A,True
Mistral,29,A,True
Mistral,30,C,False
Mistral,31,B,False
Mistral,32,A,True
Mistral,33,A,True
Mistral,34,B,True
Mistral,35,A,True
Mistral,36,A,True
Mistral,37,A,True
Mistral,38,B,False
Mistral,39,A,True
Mistral,40,A,True
Mistral,41,A,True
Mistral,42,A,True
Mistral,43,A,True
Mistral,44,A,True
Mistral,45,B,True
Mistral,46,A,True
Mistral,47,B,False
Mistral,48,C,True
Mistral,49,C,False
Mistral,50,A,True
Mistral,51,B,False
Mistral,52,B,True
Mistral,53,B,False
Mistral,54,A,True
Mistral,55,A,True
Mistral,56,A,True
Mistral,57,B,True
Mistral,58,A,True
Mistral,59,A,True
Mistral,60,A,True
Mistral,61,A,True
Mistral,62,C,False
Mistral,63,A,True
Mistral,64,A,True
Mistral,65,B,True
Mistral,66,D,True
Mistral,67,B,False
Mistral,68,A,False
Mistral,69,B,False
Mistral,70,A,True
Mistral,71,A,False
Mistral,72,A,True
Mistral,73,B,False
Mistral,74,D,False
Mistral,75,C,True
Mistral,76,B,False
Mistral,77,C,True
Mistral,78,B,True
Mistral,79,A,True
Mistral,80,C,True
Mistral,81,A,True
Mistral,82,C,True
Mistral,83,B,True
Mistral,84,A,True
Mistral,85,B,True
Mistral,1,A,True
Mistral,2,A,True
Mistral,3,A,False
Mistral,4,B,False
Mistral,5,A,True
Mistral,6,A,True
Mistral,7,A,True
Mistral,8,B,False
Mistral,9,C,False
Mistral,10,A,True
Mistral,11,A,True
Mistral,12,A,True
Mistral,13,A,True
Mistral,14,A,True
Mistral,15,A,True
Mistral,16,A,True
Mistral,17,A,True
Mistral,18,A,True
Mistral,19,B,True
Mistral,20,C,False
Mistral,21,B,True
Mistral,22,B,False
Mistral,23,A,True
Mistral,24,D,False
Mistral,25,A,True
Mistral,26,A,True
Mistral,27,A,True
Mistral,28,A,True
Mistral,29,A,True
Mistral,30,C,False
Mistral,31,B,False
Mistral,32,A,True
Mistral,33,A,True
Mistral,34,B,True
Mistral,35,A,True
Mistral,36,A,True
Mistral,37,A,True
Mistral,38,B,False
Mistral,39,A,True
Mistral,40,A,True
Mistral,41,A,True
Mistral,42,A,True
Mistral,43,A,True
Mistral,44,A,True
Mistral,45,B,True
Mistral,46,A,True
Mistral,47,B,False
Mistral,48,C,True
Mistral,49,C,False
Mistral,50,A,True
Mistral,51,B,False
Mistral,52,B,True
Mistral,53,B,False
Mistral,54,A,True
Mistral,55,A,True
Mistral,56,A,True
Mistral,57,B,True
Mistral,58,A,True
Mistral,59,A,True
Mistral,60,A,True
Mistral,61,A,True
Mistral,62,C,False
Mistral,63,A,True
Mistral,64,A,True
Mistral,65,B,True
Mistral,66,D,True
Mistral,67,B,False
Mistral,68,A,False
Mistral,69,B,False
Mistral,70,A,True
Mistral,71,A,False
Mistral,72,A,True
Mistral,73,B,False
Mistral,74,D,False
Mistral,75,C,True
Mistral,76,B,False
Mistral,77,C,True
Mistral,78,B,True
Mistral,79,A,True
Mistral,80,C,True
Mistral,81,A,True
Mistral,82,C,True
Mistral,83,B,True
Mistral,84,A,True
Mistral,85,B,True
Llama3,1,A,True
Llama3,2,A,True
Llama3,3,D,False
Llama3,4,A,True
Llama3,5,A,True
Llama3,6,A,True
Llama3,7,B,False
Llama3,8,B,False
Llama3,9,A,True
Llama3,10,B,False
Llama3,11,A,True
Llama3,12,A,True
Llama3,13,A,True
Llama3,14,A,True
Llama3,15,A,True
Llama3,16,A,True
Llama3,17,C,False
Llama3,18,A,True
Llama3,19,B,True
Llama3,20,C,False
Llama3,21,B,True
Llama3,22,A,True
Llama3,23,A,True
Llama3,24,D,False
Llama3,25,A,True
Llama3,26,A,True
Llama3,27,D,False
Llama3,28,A,True
Llama3,29,A,True
Llama3,30,C,False
Llama3,31,A,True
Llama3,32,A,True
Llama3,33,A,True
Llama3,34,B,True
Llama3,35,A,True
Llama3,36,D,False
Llama3,37,D,False
Llama3,38,B,False
Llama3,39,A,True
Llama3,40,B,False
Llama3,41,D,False
Llama3,42,A,True
Llama3,43,A,True
Llama3,44,B,False
Llama3,45,B,True
Llama3,46,A,True
Llama3,47,A,False
Llama3,48,C,True
Llama3,49,C,False
Llama3,50,A,True
Llama3,51,B,False
Llama3,52,B,True
Llama3,53,A,True
Llama3,54,D,False
Llama3,55,C,False
Llama3,56,A,True
Llama3,57,B,True
Llama3,58,D,False
Llama3,59,A,True
Llama3,60,A,True
Llama3,61,A,True
Llama3,62,C,False
Llama3,63,D,False
Llama3,64,D,False
Llama3,65,B,True
Llama3,66,D,True
Llama3,67,D,False
Llama3,68,A,False
Llama3,69,B,False
Llama3,70,D,False
Llama3,71,A,False
Llama3,72,D,False
Llama3,73,B,False
Llama3,74,D,False
Llama3,75,C,True
Llama3,76,B,False
Llama3,77,A,False
Llama3,78,B,True
Llama3,79,A,True
Llama3,80,B,False
Llama3,81,A,True
Llama3,82,A,False
Llama3,83,B,True
Llama3,84,B,False
Llama3,85,B,True
Llama3,1,A,True
Llama3,2,A,True
Llama3,3,D,False
Llama3,4,A,True
Llama3,5,A,True
Llama3,6,A,True
Llama3,7,B,False
Llama3,8,B,False
Llama3,9,A,True
Llama3,10,B,False
Llama3,11,A,True
Llama3,12,A,True
Llama3,13,A,True
Llama3,14,A,True
Llama3,15,A,True
Llama3,16,A,True
Llama3,17,C,False
Llama3,18,A,True
Llama3,19,B,True
Llama3,20,C,False
Llama3,21,B,True
Llama3,22,A,True
Llama3,23,A,True
Llama3,24,D,False
Llama3,25,A,True
Llama3,26,A,True
Llama3,27,D,False
Llama3,28,A,True
Llama3,29,A,True
Llama3,30,C,False
Llama3,31,A,True
Llama3,32,A,True
Llama3,33,A,True
Llama3,34,B,True
Llama3,35,A,True
Llama3,36,D,False
Llama3,37,D,False
Llama3,38,B,False
Llama3,39,A,True
Llama3,40,B,False
Llama3,41,D,False
Llama3,42,A,True
Llama3,43,A,True
Llama3,44,B,False
Llama3,45,B,True
Llama3,46,A,True
Llama3,47,A,False
Llama3,48,C,True
Llama3,49,C,False
Llama3,50,A,True
