Model,Question Number,Model Answer,Correct
instructlab/granite-7b-lab:latest,1,A,True
instructlab/granite-7b-lab:latest,2,A,True
instructlab/granite-7b-lab:latest,3,A,False
instructlab/granite-7b-lab:latest,4,A,True
instructlab/granite-7b-lab:latest,5,A,True
instructlab/granite-7b-lab:latest,6,A,True
instructlab/granite-7b-lab:latest,7,A,True
instructlab/granite-7b-lab:latest,8,C,False
instructlab/granite-7b-lab:latest,9,,False
instructlab/granite-7b-lab:latest,10,B,False
instructlab/granite-7b-lab:latest,11,A,True
instructlab/granite-7b-lab:latest,12,A,True
instructlab/granite-7b-lab:latest,13,A,True
instructlab/granite-7b-lab:latest,14,A,True
instructlab/granite-7b-lab:latest,15,C,False
instructlab/granite-7b-lab:latest,16,,False
instructlab/granite-7b-lab:latest,17,B,False
instructlab/granite-7b-lab:latest,18,C,False
instructlab/granite-7b-lab:latest,19,A,True
instructlab/granite-7b-lab:latest,20,A,True
instructlab/granite-7b-lab:latest,21,A,True
instructlab/granite-7b-lab:latest,22,C,False
instructlab/granite-7b-lab:latest,23,A,True
instructlab/granite-7b-lab:latest,24,A,True
instructlab/granite-7b-lab:latest,25,B,True
instructlab/granite-7b-lab:latest,26,C,False
instructlab/granite-7b-lab:latest,27,A,True
instructlab/granite-7b-lab:latest,28,A,True
instructlab/granite-7b-lab:latest,29,A,False
instructlab/granite-7b-lab:latest,30,A,True
instructlab/granite-7b-lab:latest,31,A,True
instructlab/granite-7b-lab:latest,32,A,True
instructlab/granite-7b-lab:latest,33,A,False
instructlab/granite-7b-lab:latest,34,B,False
instructlab/granite-7b-lab:latest,35,B,False
instructlab/granite-7b-lab:latest,36,B,False
instructlab/granite-7b-lab:latest,37,A,True
instructlab/granite-7b-lab:latest,38,A,True
instructlab/granite-7b-lab:latest,39,A,True
instructlab/granite-7b-lab:latest,40,B,True
instructlab/granite-7b-lab:latest,41,B,False
instructlab/granite-7b-lab:latest,42,B,False
instructlab/granite-7b-lab:latest,43,C,True
instructlab/granite-7b-lab:latest,44,B,False
instructlab/granite-7b-lab:latest,45,A,True
instructlab/granite-7b-lab:latest,46,A,True
instructlab/granite-7b-lab:latest,47,B,True
instructlab/granite-7b-lab:latest,48,A,True
instructlab/granite-7b-lab:latest,49,A,True
instructlab/granite-7b-lab:latest,50,B,False
instructlab/granite-7b-lab:latest,51,B,False
instructlab/granite-7b-lab:latest,52,A,False
instructlab/granite-7b-lab:latest,53,A,True
instructlab/granite-7b-lab:latest,54,B,False
instructlab/granite-7b-lab:latest,55,A,True
instructlab/granite-7b-lab:latest,56,B,False
instructlab/granite-7b-lab:latest,57,A,True
instructlab/granite-7b-lab:latest,58,B,False
instructlab/granite-7b-lab:latest,59,A,True
instructlab/granite-7b-lab:latest,60,B,True
instructlab/granite-7b-lab:latest,61,B,False
instructlab/granite-7b-lab:latest,62,A,True
instructlab/granite-7b-lab:latest,63,A,False
instructlab/granite-7b-lab:latest,64,B,False
instructlab/granite-7b-lab:latest,65,A,True
instructlab/granite-7b-lab:latest,66,B,True
instructlab/granite-7b-lab:latest,67,A,True
instructlab/granite-7b-lab:latest,68,B,False
instructlab/granite-7b-lab:latest,69,A,False
instructlab/granite-7b-lab:latest,70,A,False
instructlab/granite-7b-lab:latest,71,,False
instructlab/granite-7b-lab:latest,72,,False
instructlab/granite-7b-lab:latest,73,,False
instructlab/granite-7b-lab:latest,74,A,True
instructlab/granite-7b-lab:latest,75,,False
instructlab/granite-7b-lab:latest,76,,False
instructlab/granite-7b-lab:latest,77,,False
instructlab/granite-7b-lab:latest,78,,False
instructlab/granite-7b-lab:latest,79,,False
instructlab/granite-7b-lab:latest,80,,False
