Model,Question Number,Model Answer,Correct,Accuracy
llama3,1.0,A,True,
llama3,2.0,A,True,
llama3,3.0,B,True,
llama3,4.0,A,True,
llama3,5.0,A,True,
llama3,6.0,A,True,
llama3,7.0,B,False,
llama3,8.0,A,True,
llama3,9.0,A,True,
llama3,10.0,A,True,
llama3,11.0,A,True,
llama3,12.0,A,True,
llama3,13.0,A,True,
llama3,14.0,A,True,
llama3,15.0,A,True,
llama3,16.0,A,True,
llama3,17.0,A,True,
llama3,18.0,A,True,
llama3,19.0,B,True,
llama3,20.0,C,False,
llama3,21.0,B,True,
llama3,22.0,C,False,
llama3,23.0,A,True,
llama3,24.0,D,False,
llama3,25.0,A,True,
llama3,26.0,A,True,
llama3,27.0,D,False,
llama3,28.0,A,True,
llama3,29.0,A,True,
llama3,30.0,B,True,
llama3,31.0,A,True,
llama3,32.0,A,True,
llama3,33.0,A,True,
llama3,34.0,B,True,
llama3,35.0,A,True,
llama3,36.0,A,True,
llama3,37.0,D,False,
llama3,38.0,A,False,
llama3,39.0,A,True,
llama3,40.0,A,True,
llama3,41.0,D,False,
llama3,42.0,D,False,
llama3,43.0,A,True,
llama3,44.0,B,False,
llama3,45.0,B,True,
llama3,46.0,A,True,
llama3,47.0,C,True,
llama3,48.0,A,False,
llama3,49.0,C,False,
llama3,50.0,A,True,
llama3,51.0,A,True,
llama3,52.0,B,True,
llama3,53.0,D,False,
llama3,54.0,A,True,
llama3,55.0,B,False,
llama3,56.0,A,True,
llama3,57.0,B,True,
llama3,58.0,A,True,
llama3,59.0,A,True,
llama3,60.0,A,True,
llama3,61.0,B,False,
llama3,62.0,A,True,
llama3,63.0,D,False,
llama3,64.0,A,True,
llama3,65.0,D,False,
llama3,66.0,D,True,
llama3,67.0,D,False,
llama3,68.0,A,False,
llama3,69.0,B,False,
llama3,70.0,D,False,
llama3,71.0,A,False,
llama3,72.0,A,True,
llama3,73.0,B,False,
llama3,74.0,D,False,
llama3,75.0,B,False,
llama3,76.0,B,False,
llama3,77.0,A,False,
llama3,78.0,B,True,
llama3,79.0,A,True,
llama3,80.0,B,False,
llama3,81.0,A,True,
llama3,82.0,A,False,
llama3,83.0,B,True,
llama3,84.0,B,False,
llama3,85.0,D,False,
mistral,1.0,A,True,
mistral,2.0,A,True,
mistral,3.0,A,False,
mistral,4.0,B,False,
mistral,5.0,A,True,
mistral,6.0,A,True,
mistral,7.0,A,True,
mistral,8.0,A,True,
mistral,9.0,C,False,
mistral,10.0,B,False,
mistral,11.0,A,True,
mistral,12.0,A,True,
mistral,13.0,A,True,
mistral,14.0,A,True,
mistral,15.0,C,False,
mistral,16.0,A,True,
mistral,17.0,A,True,
mistral,18.0,A,True,
mistral,19.0,B,True,
mistral,20.0,C,False,
mistral,21.0,B,True,
mistral,22.0,B,False,
mistral,23.0,A,True,
mistral,24.0,A,True,
mistral,25.0,A,True,
mistral,26.0,A,True,
mistral,27.0,A,True,
mistral,28.0,A,True,
mistral,29.0,A,True,
mistral,30.0,A,False,
mistral,31.0,A,True,
mistral,32.0,A,True,
mistral,33.0,A,True,
mistral,34.0,A,False,
mistral,35.0,A,True,
mistral,36.0,A,True,
mistral,37.0,A,True,
mistral,38.0,A,False,
mistral,39.0,A,True,
mistral,40.0,A,True,
mistral,41.0,A,True,
mistral,42.0,A,True,
mistral,43.0,A,True,
mistral,44.0,A,True,
mistral,45.0,B,True,
mistral,46.0,A,True,
mistral,47.0,C,True,
mistral,48.0,A,False,
mistral,49.0,A,True,
mistral,50.0,A,True,
mistral,51.0,B,False,
mistral,52.0,B,True,
mistral,53.0,A,True,
mistral,54.0,A,True,
mistral,55.0,A,True,
mistral,56.0,A,True,
mistral,57.0,A,False,
mistral,58.0,A,True,
mistral,59.0,A,True,
mistral,60.0,A,True,
mistral,61.0,B,False,
mistral,62.0,A,True,
mistral,63.0,A,True,
mistral,64.0,A,True,
mistral,65.0,A,False,
mistral,66.0,D,True,
mistral,67.0,A,True,
mistral,68.0,D,False,
mistral,69.0,D,False,
mistral,70.0,A,True,
mistral,71.0,A,False,
mistral,72.0,A,True,
mistral,73.0,C,False,
mistral,74.0,D,False,
mistral,75.0,C,True,
mistral,76.0,C,True,
mistral,77.0,C,True,
mistral,78.0,B,True,
mistral,79.0,A,True,
mistral,80.0,C,True,
mistral,81.0,A,True,
mistral,82.0,C,True,
mistral,83.0,B,True,
mistral,84.0,A,True,
mistral,85.0,B,True,
gemma,1.0,A,True,
gemma,2.0,A,True,
gemma,3.0,A,False,
gemma,4.0,A,True,
gemma,5.0,D,False,
gemma,6.0,A,True,
gemma,7.0,A,True,
gemma,8.0,B,False,
gemma,9.0,C,False,
gemma,10.0,A,True,
gemma,11.0,A,True,
gemma,12.0,A,True,
gemma,13.0,A,True,
gemma,14.0,A,True,
gemma,15.0,C,False,
gemma,16.0,A,True,
gemma,17.0,B,False,
gemma,18.0,A,True,
gemma,19.0,B,True,
gemma,20.0,C,False,
gemma,21.0,B,True,
gemma,22.0,A,True,
gemma,23.0,A,True,
gemma,24.0,A,True,
gemma,25.0,A,True,
gemma,26.0,A,True,
gemma,27.0,D,False,
gemma,28.0,A,True,
gemma,29.0,A,True,
gemma,30.0,A,False,
gemma,31.0,A,True,
gemma,32.0,A,True,
gemma,33.0,A,True,
gemma,34.0,A,False,
gemma,35.0,A,True,
gemma,36.0,A,True,
gemma,37.0,A,True,
gemma,38.0,A,False,
gemma,39.0,A,True,
gemma,40.0,C,False,
gemma,41.0,C,False,
gemma,42.0,B,False,
gemma,43.0,A,True,
gemma,44.0,A,True,
gemma,45.0,B,True,
gemma,46.0,A,True,
gemma,47.0,C,True,
gemma,48.0,C,True,
gemma,49.0,A,True,
gemma,50.0,C,False,
gemma,51.0,B,False,
gemma,52.0,C,False,
gemma,53.0,B,False,
gemma,54.0,D,False,
gemma,55.0,C,False,
gemma,56.0,A,True,
gemma,57.0,A,False,
gemma,58.0,C,False,
gemma,59.0,A,True,
gemma,60.0,C,False,
gemma,61.0,A,True,
gemma,62.0,C,False,
gemma,63.0,A,True,
gemma,64.0,D,False,
gemma,65.0,C,False,
gemma,66.0,D,True,
gemma,67.0,D,False,
gemma,68.0,C,True,
gemma,69.0,B,False,
gemma,70.0,D,False,
gemma,71.0,B,True,
