Model,Question Number,Model Answer,Correct
llama3,1,A,True
llama3,2,B,False
llama3,3,B,True
llama3,4,A,True
llama3,5,A,True
llama3,6,A,True
llama3,7,B,False
llama3,8,A,True
llama3,9,A,True
llama3,10,A,True
llama3,11,A,True
llama3,12,A,True
llama3,13,A,True
llama3,14,A,True
llama3,15,A,True
llama3,16,A,True
llama3,17,A,True
llama3,18,A,True
llama3,19,B,True
llama3,20,C,False
llama3,21,B,True
llama3,22,C,False
llama3,23,A,True
llama3,24,D,False
llama3,25,A,True
llama3,26,A,True
llama3,27,A,True
llama3,28,A,True
llama3,29,A,True
llama3,30,B,True
llama3,31,A,True
llama3,32,A,True
llama3,33,A,True
llama3,34,B,True
llama3,35,A,True
llama3,36,A,True
llama3,37,D,False
llama3,38,B,False
llama3,39,A,True
llama3,40,A,True
llama3,41,A,True
llama3,42,A,True
llama3,43,A,True
llama3,44,B,False
llama3,45,B,True
llama3,46,A,True
llama3,47,A,False
llama3,48,A,False
llama3,49,C,False
llama3,50,A,True
llama3,51,A,True
llama3,52,B,True
llama3,53,D,False
llama3,54,A,True
llama3,55,C,False
llama3,56,A,True
llama3,57,B,True
llama3,58,A,True
llama3,59,A,True
llama3,60,A,True
llama3,61,C,False
llama3,62,A,True
llama3,63,D,False
llama3,64,A,True
llama3,65,D,False
llama3,66,D,True
llama3,67,D,False
llama3,68,D,False
llama3,69,B,False
llama3,70,A,True
llama3,71,A,False
llama3,72,A,True
llama3,73,B,False
llama3,74,D,False
llama3,75,B,False
llama3,76,B,False
llama3,77,C,True
llama3,78,B,True
llama3,79,A,True
llama3,80,B,False
llama3,81,A,True
llama3,82,A,False
llama3,83,B,True
llama3,84,B,False
llama3,85,D,False
llama3,1,A,True
llama3,2,B,False
llama3,3,B,True
llama3,4,A,True
llama3,5,A,True
llama3,6,A,True
llama3,7,B,False
llama3,8,A,True
llama3,9,A,True
llama3,10,A,True
llama3,11,A,True
llama3,12,A,True
llama3,13,A,True
llama3,14,A,True
llama3,15,A,True
llama3,16,A,True
llama3,17,A,True
llama3,18,A,True
llama3,19,B,True
llama3,20,C,False
llama3,21,B,True
llama3,22,C,False
llama3,23,A,True
llama3,24,D,False
llama3,25,A,True
llama3,26,A,True
llama3,27,D,False
llama3,28,A,True
llama3,29,A,True
llama3,30,B,True
llama3,31,A,True
llama3,32,A,True
llama3,33,A,True
llama3,34,B,True
llama3,35,A,True
llama3,36,A,True
llama3,37,D,False
llama3,38,A,False
llama3,39,A,True
llama3,40,B,False
llama3,41,D,False
llama3,42,D,False
llama3,43,A,True
llama3,44,B,False
llama3,45,B,True
llama3,46,A,True
llama3,47,A,False
llama3,48,A,False
llama3,49,C,False
llama3,50,A,True
llama3,51,A,True
llama3,52,B,True
llama3,53,D,False
llama3,54,A,True
llama3,55,B,False
llama3,56,A,True
llama3,57,B,True
llama3,58,D,False
llama3,59,A,True
llama3,60,A,True
llama3,61,C,False
llama3,62,C,False
llama3,63,D,False
llama3,64,A,True
llama3,65,D,False
llama3,66,D,True
llama3,67,D,False
llama3,68,A,False
llama3,69,B,False
llama3,70,A,True
llama3,71,A,False
llama3,72,A,True
llama3,73,B,False
llama3,74,D,False
llama3,75,B,False
llama3,76,B,False
llama3,77,C,True
llama3,78,B,True
llama3,79,A,True
llama3,80,C,True
llama3,81,A,True
llama3,82,A,False
llama3,83,B,True
llama3,84,B,False
llama3,85,D,False
llama3,1,A,True
llama3,2,B,False
llama3,3,B,True
llama3,4,C,False
llama3,5,A,True
llama3,6,A,True
llama3,7,B,False
llama3,8,B,False
llama3,9,A,True
llama3,10,A,True
llama3,11,A,True
llama3,12,A,True
llama3,13,A,True
llama3,14,A,True
llama3,15,A,True
llama3,16,A,True
llama3,17,A,True
llama3,18,A,True
llama3,19,B,True
llama3,20,C,False
llama3,21,B,True
llama3,22,C,False
llama3,23,A,True
llama3,24,D,False
llama3,25,A,True
llama3,26,A,True
llama3,27,A,True
llama3,28,A,True
llama3,29,A,True
llama3,30,B,True
llama3,31,A,True
llama3,32,A,True
llama3,33,A,True
llama3,34,B,True
llama3,35,A,True
llama3,36,A,True
llama3,37,D,False
llama3,38,A,False
llama3,39,A,True
llama3,40,A,True
llama3,41,D,False
llama3,42,A,True
llama3,43,A,True
llama3,44,B,False
llama3,45,B,True
