Model,Question Number,Model Answer,Correct
mistral,1,A,True
mistral,2,A,True
mistral,3,B,True
mistral,4,A,True
mistral,5,A,True
mistral,6,A,True
mistral,7,A,True
mistral,8,A,True
mistral,9,C,False
mistral,10,A,True
mistral,11,A,True
mistral,12,A,True
mistral,13,A,True
mistral,14,A,True
mistral,15,A,True
mistral,16,A,True
mistral,17,C,False
mistral,18,A,True
mistral,19,A,True
mistral,20,A,True
mistral,21,A,True
mistral,22,A,True
mistral,23,A,True
mistral,24,A,True
mistral,25,B,True
mistral,26,A,True
mistral,27,A,True
mistral,28,A,True
mistral,29,A,False
mistral,30,A,True
mistral,31,A,True
mistral,32,A,True
mistral,33,C,True
mistral,34,A,True
mistral,35,A,True
mistral,36,A,True
mistral,37,A,True
mistral,38,A,True
mistral,39,A,True
mistral,40,B,True
mistral,41,A,True
mistral,42,C,True
mistral,43,A,False
mistral,44,A,True
mistral,45,A,True
mistral,46,A,True
mistral,47,B,True
mistral,48,A,True
mistral,49,A,True
mistral,50,A,True
mistral,51,A,True
mistral,52,A,False
mistral,53,A,True
mistral,54,C,False
mistral,55,A,True
mistral,56,B,False
mistral,57,C,False
mistral,58,A,True
mistral,59,D,False
mistral,60,B,True
mistral,61,A,False
mistral,62,A,True
mistral,63,A,False
mistral,64,C,True
mistral,65,A,True
mistral,66,B,True
mistral,67,A,True
mistral,68,D,True
mistral,69,C,True
mistral,70,C,True
mistral,71,C,True
mistral,72,C,True
mistral,73,B,True
mistral,74,A,True
mistral,75,C,True
mistral,76,A,True
mistral,77,A,False
mistral,78,B,True
mistral,79,B,False
mistral,80,B,True
mistral,1,A,True
mistral,2,A,True
mistral,3,B,True
mistral,4,A,True
mistral,5,A,True
mistral,6,A,True
mistral,7,A,True
mistral,8,A,True
mistral,9,C,False
mistral,10,A,True
mistral,11,A,True
mistral,12,A,True
mistral,13,A,True
mistral,14,A,True
mistral,15,A,True
mistral,16,A,True
mistral,17,C,False
mistral,18,A,True
mistral,19,A,True
mistral,20,A,True
mistral,21,A,True
mistral,22,A,True
mistral,23,A,True
mistral,24,A,True
mistral,25,B,True
mistral,26,A,True
mistral,27,A,True
mistral,28,A,True
mistral,29,A,False
mistral,30,A,True
mistral,31,A,True
mistral,32,A,True
mistral,33,C,True
mistral,34,A,True
mistral,35,A,True
mistral,36,A,True
mistral,37,A,True
mistral,38,A,True
mistral,39,A,True
mistral,40,B,True
mistral,41,A,True
mistral,42,C,True
mistral,43,A,False
mistral,44,A,True
mistral,45,A,True
mistral,46,A,True
mistral,47,B,True
mistral,48,A,True
mistral,49,A,True
mistral,50,A,True
mistral,51,A,True
mistral,52,A,False
mistral,53,A,True
mistral,54,C,False
mistral,55,C,False
mistral,56,B,False
mistral,57,C,False
mistral,58,A,True
mistral,59,D,False
mistral,60,A,False
mistral,61,A,False
mistral,62,D,False
mistral,63,A,False
mistral,64,C,True
mistral,65,A,True
mistral,66,B,True
mistral,67,D,False
mistral,68,D,True
mistral,69,C,True
mistral,70,C,True
mistral,71,C,True
mistral,72,C,True
mistral,73,B,True
mistral,74,A,True
mistral,75,C,True
mistral,76,A,True
mistral,77,C,True
mistral,78,B,True
mistral,79,B,False
mistral,80,B,True
mistral,1,A,True
mistral,2,A,True
mistral,3,B,True
mistral,4,A,True
mistral,5,A,True
mistral,6,A,True
mistral,7,A,True
mistral,8,A,True
mistral,9,C,False
mistral,10,A,True
mistral,11,A,True
mistral,12,A,True
mistral,13,A,True
mistral,14,A,True
mistral,15,C,False
mistral,16,A,True
mistral,17,C,False
mistral,18,A,True
mistral,19,A,True
mistral,20,A,True
mistral,21,A,True
mistral,22,A,True
mistral,23,A,True
mistral,24,A,True
mistral,25,B,True
mistral,26,A,True
mistral,27,A,True
mistral,28,A,True
mistral,29,A,False
mistral,30,A,True
mistral,31,A,True
mistral,32,A,True
mistral,33,C,True
mistral,34,A,True
mistral,35,A,True
mistral,36,A,True
mistral,37,A,True
mistral,38,A,True
mistral,39,A,True
mistral,40,B,True
mistral,41,A,True
mistral,42,C,True
mistral,43,A,False
mistral,44,A,True
mistral,45,A,True
mistral,46,A,True
mistral,47,B,True
mistral,48,A,True
mistral,49,A,True
mistral,50,A,True
mistral,51,A,True
mistral,52,A,False
mistral,53,A,True
mistral,54,C,False
mistral,55,C,False
mistral,56,B,False
mistral,57,A,True
mistral,58,A,True
mistral,59,D,False
mistral,60,B,True
mistral,61,A,False
mistral,62,A,True
mistral,63,A,False
mistral,64,C,True
mistral,65,A,True
mistral,66,B,True
mistral,67,D,False
mistral,68,D,True
mistral,69,C,True
mistral,70,C,True
mistral,71,C,True
mistral,72,C,True
mistral,73,B,True
mistral,74,A,True
mistral,75,C,True
mistral,76,A,True
mistral,77,C,True
mistral,78,B,True
mistral,79,B,False
mistral,80,B,True
llama3,1,A,True
llama3,2,A,True
llama3,3,B,True
llama3,4,A,True
llama3,5,A,True
llama3,6,A,True
llama3,7,A,True
llama3,8,A,True
llama3,9,A,True
llama3,10,A,True
llama3,11,A,True
llama3,12,A,True
llama3,13,A,True
llama3,14,A,True
llama3,15,A,True
llama3,16,A,True
llama3,17,C,False
llama3,18,A,True
llama3,19,A,True
llama3,20,A,True
llama3,21,A,True
llama3,22,A,True
llama3,23,A,True
llama3,24,A,True
llama3,25,B,True
llama3,26,A,True
llama3,27,A,True
llama3,28,A,True
llama3,29,B,True
llama3,30,A,True
llama3,31,A,True
llama3,32,D,False
llama3,33,A,False
llama3,34,A,True
llama3,35,A,True
llama3,36,D,False
llama3,37,A,True
llama3,38,A,True
llama3,39,B,False
llama3,40,B,True
llama3,41,A,True
llama3,42,C,True
llama3,43,C,True
llama3,44,A,True
llama3,45,A,True
llama3,46,A,True
llama3,47,A,False
llama3,48,A,True
llama3,49,A,True
llama3,50,A,True
llama3,51,A,True
llama3,52,B,True
llama3,53,A,True
llama3,54,A,True
llama3,55,A,True
llama3,56,A,True
llama3,57,A,True
llama3,58,A,True
llama3,59,A,True
llama3,60,B,True
llama3,61,D,True
llama3,62,A,True
llama3,63,A,False
llama3,64,B,False
llama3,65,A,True
llama3,66,B,True
llama3,67,A,True
llama3,68,D,True
llama3,69,A,False
llama3,70,B,False
llama3,71,B,False
llama3,72,C,True
llama3,73,B,True
llama3,74,A,True
llama3,75,C,True
llama3,76,A,True
llama3,77,A,False
llama3,78,B,True
llama3,79,B,False
llama3,80,B,True
llama3,1,A,True
llama3,2,A,True
llama3,3,B,True
llama3,4,A,True
llama3,5,A,True
llama3,6,A,True
llama3,7,A,True
llama3,8,A,True
llama3,9,A,True
llama3,10,A,True
llama3,11,A,True
llama3,12,A,True
llama3,13,A,True
llama3,14,A,True
llama3,15,A,True
llama3,16,A,True
llama3,17,A,True
llama3,18,A,True
llama3,19,A,True
llama3,20,A,True
llama3,21,A,True
llama3,22,A,True
llama3,23,A,True
llama3,24,A,True
llama3,25,B,True
llama3,26,A,True
llama3,27,A,True
llama3,28,A,True
llama3,29,A,False
llama3,30,A,True
llama3,31,A,True
llama3,32,D,False
llama3,33,C,True
llama3,34,A,True
llama3,35,A,True
llama3,36,D,False
llama3,37,D,False
llama3,38,A,True
llama3,39,B,False
llama3,40,B,True
llama3,41,A,True
llama3,42,C,True
llama3,43,A,False
llama3,44,A,True
llama3,45,A,True
llama3,46,A,True
llama3,47,A,False
llama3,48,A,True
llama3,49,A,True
llama3,50,A,True
llama3,51,A,True
llama3,52,B,True
llama3,53,D,False
llama3,54,A,True
llama3,55,A,True
llama3,56,A,True
llama3,57,A,True
llama3,58,A,True
llama3,59,A,True
llama3,60,D,False
llama3,61,B,False
llama3,62,D,False
llama3,63,A,False
llama3,64,B,False
llama3,65,A,True
llama3,66,B,True
llama3,67,A,True
llama3,68,A,False
llama3,69,C,True
llama3,70,B,False
llama3,71,C,True
llama3,72,A,False
llama3,73,B,True
llama3,74,A,True
llama3,75,C,True
llama3,76,A,True
llama3,77,A,False
llama3,78,B,True
llama3,79,B,False
llama3,80,B,True
llama3,1,A,True
llama3,2,A,True
llama3,3,B,True
llama3,4,A,True
llama3,5,A,True
llama3,6,A,True
llama3,7,A,True
llama3,8,A,True
llama3,9,A,True
llama3,10,A,True
llama3,11,A,True
llama3,12,A,True
llama3,13,A,True
llama3,14,A,True
llama3,15,A,True
llama3,16,A,True
llama3,17,A,True
llama3,18,A,True
llama3,19,A,True
llama3,20,A,True
llama3,21,A,True
llama3,22,A,True
llama3,23,A,True
llama3,24,A,True
llama3,25,B,True
llama3,26,A,True
llama3,27,A,True
llama3,28,A,True
llama3,29,A,False
llama3,30,A,True
llama3,31,A,True
llama3,32,D,False
llama3,33,A,False
llama3,34,A,True
llama3,35,A,True
llama3,36,D,False
llama3,37,B,False
llama3,38,A,True
llama3,39,B,False
llama3,40,B,True
llama3,41,A,True
llama3,42,A,False
llama3,43,C,True
llama3,44,A,True
llama3,45,A,True
llama3,46,A,True
llama3,47,A,False
llama3,48,A,True
llama3,49,A,True
llama3,50,A,True
llama3,51,A,True
llama3,52,B,True
llama3,53,A,True
llama3,54,A,True
llama3,55,A,True
llama3,56,A,True
llama3,57,A,True
llama3,58,A,True
llama3,59,A,True
llama3,60,C,False
llama3,61,D,True
llama3,62,A,True
llama3,63,A,False
llama3,64,B,False
llama3,65,A,True
llama3,66,B,True
llama3,67,A,True
llama3,68,D,True
llama3,69,A,False
llama3,70,B,False
llama3,71,B,False
llama3,72,A,False
llama3,73,B,True
llama3,74,A,True
llama3,75,C,True
llama3,76,A,True
llama3,77,A,False
llama3,78,B,True
llama3,79,B,False
llama3,80,B,True
granite-code:8b,1,A,True
granite-code:8b,2,A,True
granite-code:8b,3,B,True
granite-code:8b,4,A,True
granite-code:8b,5,A,True
granite-code:8b,6,A,True
granite-code:8b,7,B,False
granite-code:8b,8,A,True
granite-code:8b,9,A,True
granite-code:8b,10,A,True
granite-code:8b,11,A,True
granite-code:8b,12,B,False
granite-code:8b,13,A,True
granite-code:8b,14,A,True
granite-code:8b,15,A,True
granite-code:8b,16,B,False
granite-code:8b,17,A,True
granite-code:8b,18,A,True
granite-code:8b,19,A,True
granite-code:8b,20,A,True
granite-code:8b,21,A,True
granite-code:8b,22,B,False
granite-code:8b,23,A,True
granite-code:8b,24,A,True
granite-code:8b,25,A,False
granite-code:8b,26,A,True
granite-code:8b,27,A,True
granite-code:8b,28,A,True
granite-code:8b,29,A,False
granite-code:8b,30,A,True
granite-code:8b,31,A,True
granite-code:8b,32,A,True
granite-code:8b,33,A,False
granite-code:8b,34,A,True
granite-code:8b,35,A,True
granite-code:8b,36,A,True
granite-code:8b,37,A,True
granite-code:8b,38,A,True
granite-code:8b,39,A,True
granite-code:8b,40,B,True
granite-code:8b,41,B,False
granite-code:8b,42,B,False
granite-code:8b,43,A,False
granite-code:8b,44,A,True
granite-code:8b,45,A,True
granite-code:8b,46,A,True
granite-code:8b,47,A,False
granite-code:8b,48,A,True
granite-code:8b,49,A,True
granite-code:8b,50,A,True
granite-code:8b,51,B,False
granite-code:8b,52,A,False
granite-code:8b,53,A,True
granite-code:8b,54,A,True
granite-code:8b,55,A,True
granite-code:8b,56,A,True
granite-code:8b,57,C,False
granite-code:8b,58,A,True
granite-code:8b,59,A,True
granite-code:8b,60,B,True
granite-code:8b,61,A,False
granite-code:8b,62,A,True
granite-code:8b,63,A,False
granite-code:8b,64,A,False
granite-code:8b,65,A,True
granite-code:8b,66,A,False
granite-code:8b,67,A,True
granite-code:8b,68,A,False
granite-code:8b,69,A,False
granite-code:8b,70,A,False
granite-code:8b,71,B,False
granite-code:8b,72,A,False
granite-code:8b,73,B,True
granite-code:8b,74,A,True
granite-code:8b,75,A,False
granite-code:8b,76,D,False
granite-code:8b,77,A,False
granite-code:8b,78,B,True
granite-code:8b,79,A,True
granite-code:8b,80,B,True
granite-code:8b,1,A,True
granite-code:8b,2,A,True
granite-code:8b,3,B,True
granite-code:8b,4,A,True
granite-code:8b,5,A,True
granite-code:8b,6,A,True
granite-code:8b,7,A,True
granite-code:8b,8,A,True
granite-code:8b,9,C,False
granite-code:8b,10,A,True
